time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353943701.579,"2012-11-26 15:28:31",001640,52,2134,1032,"[30, 60]","[90, 90]","[40, 40]","[60, 30]",up,"1,0",NULL
1353943711.97,"2012-11-26 15:28:40",001640,53,1073,0123,"[50, 50]","[30, 60]","[60, 30]","[0, 0]",up,"0,1",NULL
1353943720.744,"2012-11-26 15:28:53",001640,54,1134,2301,"[20, 30]","[40, 40]","[50, 50]","[30, 20]",down,"0,1",NULL
1353943733.658,"2012-11-26 15:29:02",001640,55,1122,0123,"[50, 50]","[30, 20]","[20, 30]","[20, 20]",up,"0,1",NULL
1353943742.19,"2012-11-26 15:29:09",001640,56,1011,1032,"[30, 60]","[50, 50]","[40, 40]","[60, 30]",up,"1,0",NULL
1353943749.114,"2012-11-26 15:29:18",001640,57,1154,0123,"[50, 50]","[30, 40]","[40, 30]","[60, 60]",down,"2,3",NULL
1353943758.841,"2012-11-26 15:29:30",001640,58,4164,1032,"[30, 40]","[50, 50]","[40, 40]","[40, 30]",up,"1,0",NULL
1353943770.61,"2012-11-26 15:29:39",001640,59,1092,2301,"[40, 30]","[20, 20]","[50, 50]","[30, 40]",down,"0,1",NULL
1353943779.992,"2012-11-26 15:31:46",001640,60,2144,0123,"[90, 90]","[10, 60]","[60, 10]","[40, 40]",up,"0,1",NULL
1353943906.869,"2012-11-26 15:31:58",001640,61,3063,3210,"[0, 0]","[60, 30]","[30, 60]","[30, 30]",down,"1,0",NULL
1353943918.858,"2012-11-26 15:32:12",001640,62,1041,2301,"[80, 30]","[40, 40]","[50, 50]","[30, 80]",down,"0,1",NULL
1353943933.031,"2012-11-26 15:32:29",001640,63,4011,3210,"[40, 40]","[60, 30]","[30, 60]","[50, 50]",up,"3,2",NULL
1353946602.873,"2012-11-26 16:18:16",002848,0,2112,0123,"[90, 90]","[60, 70]","[70, 60]","[40, 40]",left,"0,2",NULL
1353946696.428,"2012-11-26 16:18:28",002848,1,1031,0123,"[50, 50]","[80, 30]","[30, 80]","[60, 60]",right,"1,3",NULL
1353946708.484,"2012-11-26 16:18:36",002848,2,3102,1032,"[60, 30]","[70, 70]","[0, 0]","[30, 60]",right,"0,2",NULL
1353946716.166,"2012-11-26 16:18:45",002848,3,4092,0123,"[50, 50]","[40, 50]","[50, 40]","[40, 40]",left,"0,2",NULL
