"expt","sub","trial.no","rt"
"expt 1","009848",42,5003
"expt 1","009848",43,7876
"expt 1","009848",44,2546
"expt 1","009848",45,6298
"expt 1","009848",46,4057
"expt 1","009848",47,6033
"expt 1","009848",48,4372
"expt 1","009848",49,6946
"expt 1","009848",50,6264
"expt 1","009848",51,2314
"expt 1","009848",52,7859
"expt 1","009848",53,4306
"expt 1","009848",54,5833
"expt 1","009848",55,7428
"expt 1","009848",56,3957
"expt 1","009848",57,10615
"expt 1","009848",58,3343
"expt 1","009848",59,10515
"expt 1","009848",60,5236
"expt 1","009848",61,10133
"expt 1","009848",62,15778
"expt 1","009848",63,3028
"expt 1","010872",0,9652
"expt 1","010872",1,9452
"expt 1","010872",2,4007
"expt 1","010872",3,4040
"expt 1","010872",4,3559
"expt 1","010872",5,2928
"expt 1","010872",6,5086
"expt 1","010872",7,2927
"expt 1","010872",8,2513
"expt 1","010872",9,2878
"expt 1","010872",10,2811
"expt 1","010872",11,2414
"expt 1","010872",12,4638
"expt 1","010872",13,2148
"expt 1","010872",14,3276
"expt 1","010872",15,2330
"expt 1","010872",16,2613
"expt 1","010872",17,2712
"expt 1","010872",18,4837
"expt 1","010872",19,13420
"expt 1","010872",20,5351
"expt 1","010872",21,4720
"expt 1","010872",22,2595
"expt 1","010872",23,5717
"expt 1","010872",24,3094
"expt 1","010872",25,2281
"expt 1","010872",26,4089
"expt 1","010872",27,2828
"expt 1","010872",28,4007
"expt 1","010872",29,6514
"expt 1","010872",30,2878
"expt 1","010872",31,2598
"expt 1","010872",32,2761
"expt 1","010872",33,2497
"expt 1","010872",34,3642
"expt 1","010872",35,1981
"expt 1","010872",36,2795
"expt 1","010872",37,6514
"expt 1","010872",38,2612
"expt 1","010872",39,2048
"expt 1","010872",40,14035
"expt 1","010872",41,6996
"expt 1","010872",42,9369
"expt 1","010872",43,2446
"expt 1","010872",44,2463
"expt 1","010872",45,6580
"expt 1","010872",46,2413
"expt 1","010872",47,2645
"expt 1","010872",48,2364
"expt 1","010872",49,3376
"expt 1","010872",50,2895
"expt 1","010872",51,4887
"expt 1","010872",52,5003
"expt 1","010872",53,17023
"expt 1","010872",54,2713
"expt 1","010872",55,2513
"expt 1","010872",56,2629
"expt 1","010872",57,2296
"expt 1","010872",58,7295
"expt 1","010872",59,2513
"expt 1","010872",60,3443
"expt 1","010872",61,5667
"expt 1","010872",62,2496
"expt 1","010872",63,12756
"expt 1","011280",0,23532
"expt 1","011280",1,11777
"expt 1","011280",2,12674
"expt 1","011280",3,16691
"expt 1","011280",4,21489
"expt 1","011280",5,9338
"expt 1","011280",6,10781
"expt 1","011280",7,29027
"expt 1","011280",8,9237
"expt 1","011280",9,8439
"expt 1","011280",10,13155
"expt 1","011280",11,5834
"expt 1","011280",12,9121
"expt 1","011280",13,4124
"expt 1","011280",14,4871
"expt 1","011280",15,10416
"expt 1","011280",16,4140
"expt 1","011280",17,6763
"expt 1","011280",18,6530
"expt 1","011280",19,9519
"expt 1","011280",20,12923
"expt 1","011280",21,16193
"expt 1","011280",22,20394
"expt 1","011280",23,19033
"expt 1","011280",24,17339
"expt 1","011280",25,10814
"expt 1","011280",26,10366
"expt 1","011280",27,21606
"expt 1","011280",28,18369
"expt 1","011280",29,15845
"expt 1","011280",30,18003
"expt 1","011280",31,17472
"expt 1","011280",32,18236
"expt 1","011280",33,31982
"expt 1","011280",34,14484
"expt 1","011280",35,6647
"expt 1","011280",36,6564
"expt 1","011280",37,11694
"expt 1","011280",38,7909
"expt 1","011280",39,9005
"expt 1","011280",40,13703
"expt 1","011280",41,5086
"expt 1","011280",42,12640
"expt 1","011280",43,25209
"expt 1","011280",44,15379
"expt 1","011280",45,13387
"expt 1","011280",46,10631
"expt 1","011280",47,25889
"expt 1","011280",48,6165
"expt 1","011280",49,5285
"expt 1","011280",50,14715
"expt 1","011280",51,14300
"expt 1","011280",52,7793
"expt 1","011280",53,9768
"expt 1","011280",54,45298
"expt 1","011280",55,8789
"expt 1","011280",56,10117
"expt 1","011280",57,10415
"expt 1","011280",58,5451
"expt 1","011280",59,4821
"expt 1","011280",60,6465
"expt 1","011280",61,9220
"expt 1","011280",62,41729
"expt 1","011280",63,30870
"expt 1","012232",0,10350
"expt 1","012232",1,9918
"expt 1","012232",2,7194
"expt 1","012232",3,15828
"expt 1","012232",4,8988
"expt 1","012232",5,10931
"expt 1","012232",6,11080
"expt 1","012232",7,11163
"expt 1","012232",8,8141
"expt 1","012232",9,8921
"expt 1","012232",10,10814
"expt 1","012232",11,13819
"expt 1","012232",12,9436
"expt 1","012232",13,7394
"expt 1","012232",14,17986
"expt 1","012232",15,7178
"expt 1","012232",16,9951
"expt 1","012232",17,11777
"expt 1","012232",18,15313
"expt 1","012232",19,5484
"expt 1","012232",20,8938
"expt 1","012232",21,7726
"expt 1","012232",22,8108
"expt 1","012232",23,9071
"expt 1","012232",24,9519
"expt 1","012232",25,10880
"expt 1","012232",26,13005
"expt 1","012232",27,3708
"expt 1","012232",28,6896
"expt 1","012232",29,5103
"expt 1","012232",30,3260
"expt 1","012232",31,9287
"expt 1","012232",32,7876
"expt 1","012232",33,2463
"expt 1","012232",34,4588
"expt 1","012232",35,9801
"expt 1","012232",36,10980
"expt 1","012232",37,3426
"expt 1","012232",38,5584
"expt 1","012232",39,8639
"expt 1","012232",40,3708
"expt 1","012232",41,5999
"expt 1","012232",42,8174
"expt 1","012232",43,5401
"expt 1","012232",44,4206
"expt 1","012232",45,3875
"expt 1","012232",46,6713
"expt 1","012232",47,2562
"expt 1","012232",48,7047
"expt 1","012232",49,7593
"expt 1","012232",50,3509
"expt 1","012232",51,10083
"expt 1","012232",52,9237
"expt 1","012232",53,5003
"expt 1","012232",54,9204
"expt 1","012232",55,4522
"expt 1","012232",56,3824
"expt 1","012232",57,8822
"expt 1","012232",58,7626
"expt 1","012232",59,4638
"expt 1","012232",60,3874
"expt 1","012232",61,5750
"expt 1","012232",62,4970
"expt 1","012232",63,7576
"expt 1","013512",0,36597
"expt 1","013512",1,23615
"expt 1","013512",2,15579
"expt 1","013512",3,14616
"expt 1","013512",4,17986
"expt 1","013512",5,15512
"expt 1","013512",6,25009
"expt 1","013512",7,28795
"expt 1","013512",8,14799
"expt 1","013512",9,46924
"expt 1","013512",10,11644
"expt 1","013512",11,30637
"expt 1","013512",12,8988
"expt 1","013512",13,14682
"expt 1","013512",14,6630
"expt 1","013512",15,9187
"expt 1","013512",16,8839
"expt 1","013512",17,8938
"expt 1","013512",18,8855
"expt 1","013512",19,12275
"expt 1","013512",20,10051
"expt 1","013512",21,5501
"expt 1","013512",22,10067
"expt 1","013512",23,17040
"expt 1","013512",24,11462
"expt 1","013512",25,13487
"expt 1","013512",26,25490
"expt 1","013512",27,4290
"expt 1","013512",28,14799
"expt 1","013512",29,25043
"expt 1","013512",30,7510
"expt 1","013512",31,4538
"expt 1","013512",32,12607
"expt 1","013512",33,7128
"expt 1","013512",34,11794
"expt 1","013512",35,6033
"expt 1","013512",36,11096
"expt 1","013512",37,17571
"expt 1","013512",38,9203
"expt 1","013512",39,5154
"expt 1","013512",40,21240
"expt 1","013512",41,15131
"expt 1","013512",42,3725
"expt 1","013512",43,4887
"expt 1","013512",44,5767
"expt 1","013512",45,16576
"expt 1","013512",46,7245
"expt 1","013512",47,7161
"expt 1","013512",48,3708
"expt 1","013512",49,9387
"expt 1","013512",50,7991
"expt 1","013512",51,6115
"expt 1","013512",52,8838
"expt 1","013512",53,9535
"expt 1","013512",54,6530
"expt 1","013512",55,8739
"expt 1","013512",56,3891
"expt 1","013512",57,12740
"expt 1","013512",58,6232
"expt 1","013512",59,15960
"expt 1","013512",60,7859
"expt 1","013512",61,8623
"expt 1","013512",62,3459
"expt 1","013512",63,5701
"expt 1","014384",0,13072
"expt 1","014384",1,13105
"expt 1","014384",2,6232
"expt 1","014384",3,3027
"expt 1","014384",4,3974
"expt 1","014384",5,2479
"expt 1","014384",6,2612
"expt 1","014384",7,4605
"expt 1","014384",8,3526
"expt 1","014384",9,6414
"expt 1","014384",10,5535
"expt 1","014384",11,7875
"expt 1","014384",12,10731
"expt 1","014384",13,5135
"expt 1","014384",14,6249
"expt 1","014384",15,2613
"expt 1","014384",16,8988
"expt 1","014384",17,8274
"expt 1","014384",18,6132
"expt 1","014384",19,7842
"expt 1","014384",20,4605
"expt 1","014384",21,5170
"expt 1","014384",22,20942
"expt 1","014384",23,11112
"expt 1","014384",24,16790
"expt 1","014384",25,2513
"expt 1","014384",26,4654
"expt 1","014384",27,7261
"expt 1","014384",28,13470
"expt 1","014384",29,5252
"expt 1","014384",30,10119
"expt 1","014384",31,6747
"expt 1","014384",32,6498
"expt 1","014384",33,8922
"expt 1","014384",34,2280
"expt 1","014384",35,1948
"expt 1","014384",36,2331
"expt 1","014384",37,13404
"expt 1","014384",38,4223
"expt 1","014384",39,2131
"expt 1","014384",40,8208
"expt 1","014384",41,5186
"expt 1","014384",42,2230
"expt 1","014384",43,5368
"expt 1","014384",44,2978
"expt 1","014384",45,4405
"expt 1","014384",46,3791
"expt 1","014384",47,3326
"expt 1","014384",48,7112
"expt 1","014384",49,13719
"expt 1","014384",50,3127
"expt 1","014384",51,2131
"expt 1","014384",52,1915
"expt 1","014384",53,6281
"expt 1","014384",54,7543
"expt 1","014384",55,9104
"expt 1","014384",56,2529
"expt 1","014384",57,2396
"expt 1","014384",58,2894
"expt 1","014384",59,2413
"expt 1","014384",60,2181
"expt 1","014384",61,1882
"expt 1","014384",62,1865
"expt 1","014384",63,5020
"expt 1","015720",0,8490
"expt 1","015720",1,8838
"expt 1","015720",2,15114
"expt 1","015720",3,5900
"expt 1","015720",4,7809
"expt 1","015720",5,8440
"expt 1","015720",6,6365
"expt 1","015720",7,5303
"expt 1","015720",8,5567
"expt 1","015720",9,6215
"expt 1","015720",10,7544
"expt 1","015720",11,8274
"expt 1","015720",12,5617
"expt 1","015720",13,5700
"expt 1","015720",14,4937
"expt 1","015720",15,7012
"expt 1","015720",16,4804
"expt 1","015720",17,7311
"expt 1","015720",18,4538
"expt 1","015720",19,12607
"expt 1","015720",20,5435
"expt 1","015720",21,4373
"expt 1","015720",22,3476
"expt 1","015720",23,4057
"expt 1","015720",24,5834
"expt 1","015720",25,7959
"expt 1","015720",26,4854
"expt 1","015720",27,4987
"expt 1","015720",28,8341
"expt 1","015720",29,7560
"expt 1","015720",30,5103
"expt 1","015720",31,4687
"expt 1","015720",32,5170
"expt 1","015720",33,4041
